session_id,frame_index,header_timestamp_ns,return_count
20260730_indoor_ball_1p5m_front_static_run01,79,1785425784725175552,42
20260730_indoor_ball_1p5m_front_static_run01,80,1785425784825566976,33
20260730_indoor_ball_1p5m_front_static_run01,81,1785425784925991680,36
20260730_indoor_ball_1p5m_front_static_run01,82,1785425785025784576,42
20260730_indoor_ball_1p5m_front_static_run01,83,1785425785125499392,35
20260730_indoor_ball_1p5m_front_static_run01,84,1785425785228152064,37
20260730_indoor_ball_1p5m_front_static_run01,85,1785425785327778560,41
20260730_indoor_ball_1p5m_front_static_run01,86,1785425785427038208,35
20260730_indoor_ball_1p5m_front_static_run01,87,1785425785527818752,36
20260730_indoor_ball_1p5m_front_static_run01,88,1785425785629130496,42
20260730_indoor_ball_1p5m_front_static_run01,89,1785425785728885248,35
20260730_indoor_ball_1p5m_front_static_run01,90,1785425785829873152,34
20260730_indoor_ball_1p5m_front_static_run01,91,1785425785929729024,42
20260730_indoor_ball_1p5m_front_static_run01,92,1785425786027400192,35
20260730_indoor_ball_1p5m_front_static_run01,93,1785425786130454016,33
20260730_indoor_ball_1p5m_front_static_run01,94,1785425786232346880,42
20260730_indoor_ball_1p5m_front_static_run01,95,1785425786328432384,35
20260730_indoor_ball_1p5m_front_static_run01,96,1785425786429880320,33
20260730_indoor_ball_1p5m_front_static_run01,97,1785425786528690176,43
20260730_indoor_ball_1p5m_front_static_run01,98,1785425786628609024,35
20260730_indoor_ball_1p5m_front_static_run01,99,1785425786733059584,35
20260730_indoor_ball_1p5m_front_static_run01,100,1785425786830184704,44
20260730_indoor_ball_1p5m_front_static_run01,101,1785425786932704256,34
20260730_indoor_ball_1p5m_front_static_run01,102,1785425787034013440,30
20260730_indoor_ball_1p5m_front_static_run01,103,1785425787131517184,41
20260730_indoor_ball_1p5m_front_static_run01,104,1785425787230358016,35
20260730_indoor_ball_1p5m_front_static_run01,105,1785425787329995264,31
20260730_indoor_ball_1p5m_front_static_run01,106,1785425787431057408,42
20260730_indoor_ball_1p5m_front_static_run01,107,1785425787531261440,33
20260730_indoor_ball_1p5m_front_static_run01,108,1785425787631750400,32
20260730_indoor_ball_1p5m_front_static_run01,109,1785425787731916288,43
20260730_indoor_ball_1p5m_front_static_run01,110,1785425787832841984,34
20260730_indoor_ball_1p5m_front_static_run01,111,1785425787933252608,29
